X-POSF,Y-POSF,X-TCMD,Y-TCMD,Z-TCMD,SPEED,S-TCMD
-0.251,-0.003,-1.071134304,5.383136501,-5.135951662,-1432,-0.067138672
-0.252,-0.003,-1.084866795,5.383136501,-5.122219171,-1433,0.274658203
-0.253,-0.005,-1.112331777,5.163416644,-4.943696787,-1433,0.506591797
-0.254,-0.004,-1.112331777,5.177149135,-5.026091733,-1433,0.445556641
-0.255,-0.004,-1.167261741,5.300741555,-5.108486679,-1434,0.482177734
-0.256,-0.003,-1.112331777,5.438066465,-5.204614117,-1434,0.067138672
-0.257,-0.003,-1.139796759,5.149684153,-5.24581159,-1434,-0.122070313
-0.258,-0.003,-1.126064268,5.122219171,-5.122219171,-1434,-0.286865234
-0.257,-0.003,-1.126064268,5.218346608,-5.149684153,-1433,-0.378417969
-0.26,-0.003,-1.167261741,5.506728921,-5.026091733,-1433,-0.445556641
-0.261,-0.003,-1.180994232,5.232079099,-5.108486679,-1432,0.042724609
-0.26,-0.005,-1.167261741,5.122219171,-4.916231804,-1433,0.012207031
-0.262,-0.004,-1.194726723,5.273276572,-4.98489426,-1432,0.036621094
-0.264,-0.004,-1.180994232,5.561658885,-5.067289206,-1433,-0.390625
-0.265,-0.003,-1.15352925,5.218346608,-5.163416644,-1434,-0.708007813
-0.266,-0.003,-1.139796759,5.232079099,-5.218346608,-1434,-1.055908203
-0.267,-0.003,-1.112331777,5.451798956,-5.149684153,-1433,-1.123046875
-0.268,-0.003,-1.15352925,5.438066465,-5.108486679,-1433,-0.756835938
-0.269,-0.003,-1.098599286,5.204614117,-5.122219171,-1432,-0.439453125
-0.27,-0.003,-1.071134304,5.232079099,-5.039824224,-1432,-0.445556641
-0.271,-0.003,-1.112331777,5.451798956,-5.067289206,-1432,-0.286865234
-0.272,-0.003,-1.139796759,5.520461412,-5.053556715,-1433,-0.274658203
-0.273,-0.003,-1.15352925,5.259544081,-5.122219171,-1434,-0.231933594
